Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/11  07:00:00,0.0,2239325.8816974876,1332530.907142857,0.0,1332000.0 
 01/11  08:00:00,0.0,2383282.119427101,1332530.907142857,0.0,1332000.0 
 01/11  09:00:00,0.0,2437508.499884452,1332530.907142857,0.0,1332000.0 
 01/11  10:00:00,0.0,2130436.0175653794,1332530.907142857,0.0,1332000.0 
 01/11  11:00:00,0.0,1623884.5751973435,1332530.907142857,0.0,1332000.0 
 01/11  12:00:00,0.0,1181559.0268193977,1332530.907142857,0.0,1332000.0 
 01/11  13:00:00,0.0,984374.9007643581,1332530.907142857,0.0,1332000.0 
 01/11  14:00:00,0.0,941355.7059791281,1332530.907142857,0.0,1332000.0 
 01/11  15:00:00,0.0,930808.3822980868,1332530.907142857,0.0,1332000.0 
 01/11  16:00:00,0.0,963998.4669062397,1332530.907142857,0.0,1332000.0 
 01/11  17:00:00,0.0,1071844.022815802,1332530.907142857,0.0,1332000.0 
 01/11  18:00:00,0.0,1472077.6549638903,1332530.907142857,0.0,1332000.0 
 01/11  19:00:00,0.0,1984768.2019510954,1332530.907142857,0.0,1332000.0 
 01/11  20:00:00,0.0,2173621.3356296974,1332530.907142857,0.0,1332000.0 
 01/11  21:00:00,0.0,2438065.0318412906,1332530.907142857,0.0,1332000.0 
 01/11  22:00:00,0.0,2729358.592711793,1332530.907142857,0.0,1332000.0 
 01/11  23:00:00,0.0,2836316.225842832,1332530.907142857,0.0,1332000.0 
 01/11  24:00:00,0.0,2846875.3749858094,1332530.907142857,0.0,1332000.0 
 01/12  01:00:00,0.0,2841510.4322869205,1332530.907142857,0.0,1332000.0 
 01/12  02:00:00,0.0,2807489.330570077,1332530.907142857,0.0,1332000.0 
 01/12  03:00:00,0.0,2899558.1797487405,1332530.907142857,0.0,1332000.0 
 01/12  04:00:00,0.0,2963471.376051748,1332530.907142857,0.0,1332000.0 
 01/12  05:00:00,0.0,2959901.9996648873,1332530.907142857,0.0,1332000.0 
 01/12  06:00:00,0.0,3005885.805365126,1332530.907142857,0.0,1332000.0 
 01/12  07:00:00,0.0,2991645.6055194247,1332530.907142857,0.0,1332000.0 
 01/12  08:00:00,0.0,2998643.986377607,1332530.907142857,0.0,1332000.0 
 01/12  09:00:00,0.0,2897402.271411535,1332530.907142857,0.0,1332000.0 
 01/12  10:00:00,0.0,2228456.439327375,1332530.907142857,0.0,1332000.0 
 01/12  11:00:00,0.0,1156651.7203477502,1332530.907142857,0.0,1332000.0 
 01/12  12:00:00,0.0,753683.7190842178,1332530.907142857,0.0,1332000.0 
 01/12  13:00:00,0.0,562286.7717282289,1332530.907142857,0.0,1332000.0 
 01/12  14:00:00,0.0,440575.53449809586,1332530.907142857,0.0,1332000.0 
 01/12  15:00:00,0.0,418621.0025699377,1332530.907142857,0.0,1332000.0 
 01/12  16:00:00,0.0,602525.5431504044,1332530.907142857,0.0,1332000.0 
 01/12  17:00:00,0.0,782978.6602183898,1332530.907142857,0.0,1332000.0 
 01/12  18:00:00,0.0,1048004.8028684875,1332530.907142857,0.0,1332000.0 
 01/12  19:00:00,0.0,1466068.2791381055,1332530.907142857,0.0,1332000.0 
 01/12  20:00:00,0.0,1911495.7662403188,1332530.907142857,0.0,1332000.0 
 01/12  21:00:00,0.0,1924363.7395669115,1332530.907142857,0.0,1332000.0 
 01/12  22:00:00,0.0,1833639.3888992546,1332530.907142857,0.0,1332000.0 
