,thermal conductivity,thickness,annual_energy_kWh,normalized_energy
234,1.4000000000000001,0.03,3257.7943764982874,1.0
235,1.4000000000000001,0.04,3217.118679181664,0.9875143447941166
236,1.4000000000000001,0.05,3178.3314418020195,0.975608363968729
237,1.4000000000000001,0.06,3141.6938228795307,0.9643622217361828
238,1.4000000000000001,0.07,3107.5374243923457,0.9538777053610582
239,1.4000000000000001,0.08,3076.0190487495156,0.9442029463062193
240,1.4000000000000001,0.09,3047.0110792175237,0.9352987718312262
241,1.4000000000000001,0.1,3020.3036927795906,0.9271007754719103
242,1.4000000000000001,0.11,2995.6793320397524,0.9195421766488912
243,1.4000000000000001,0.12,2972.9768446155163,0.9125735086482304
244,1.4000000000000001,0.13,2951.9661298209976,0.9061241406506398
245,1.4000000000000001,0.14,2932.3478758775623,0.9001021970666735
246,1.4000000000000001,0.15,2914.1110103135416,0.8945042791331227
247,1.4000000000000001,0.16,2897.3459410565465,0.8893581381188407
248,1.4000000000000001,0.17,2881.9382896689685,0.8846286648596539
249,1.4000000000000001,0.18,2868.0459707749387,0.8803643322196785
250,1.4000000000000001,0.19,2852.5366843082675,0.8756036614485104
251,1.4000000000000001,0.2,2838.9998292313708,0.8714484406112005
252,1.5000000000000002,0.03,3263.328353451981,1.0
253,1.5000000000000002,0.04,3224.1735669975465,0.9880015793038368
254,1.5000000000000002,0.05,3186.755262949041,0.976535278645209
255,1.5000000000000002,0.06,3151.3232578408324,0.9656776507050943
256,1.5000000000000002,0.07,3118.227060000688,0.9555357972795464
257,1.5000000000000002,0.08,3087.6134682524266,0.9461547027550319
258,1.5000000000000002,0.09,3059.4005044824653,0.9375092461186755
259,1.5000000000000002,0.1,3033.3764069552517,0.9295345360348174
260,1.5000000000000002,0.11,3009.3359017389657,0.9221676692618628
261,1.5000000000000002,0.12,2987.1382960612286,0.9153655325249156
262,1.5000000000000002,0.13,2966.5497288574766,0.9090564624670487
263,1.5000000000000002,0.14,2947.341356142167,0.9031703331429828
264,1.5000000000000002,0.15,2929.3752952895175,0.8976648924067955
265,1.5000000000000002,0.16,2912.7862734963364,0.8925814254686208
266,1.5000000000000002,0.17,2897.3786394619406,0.8878599778036632
267,1.5000000000000002,0.18,2881.382279266716,0.8829581234811267
268,1.5000000000000002,0.19,2868.721386970024,0.8790783752837689
269,1.5000000000000002,0.2,2855.450266140422,0.8750116313364233
270,1.6,0.03,3268.221445749331,1.0
271,1.6,0.04,3230.4193023765374,0.9884334204397442
272,1.6,0.05,3194.236877552484,0.9773624372078362
273,1.6,0.06,3159.9053798135324,0.9668577947566328
274,1.6,0.07,3127.7674285218786,0.9570243266685226
275,1.6,0.08,3097.9991882696836,0.9479159352249403
276,1.6,0.09,3070.525950372339,0.9395097613002583
277,1.6,0.1,3045.141446653118,0.9317426916140115
278,1.6,0.11,3021.6612685740592,0.9245583014284575
279,1.6,0.12,2999.9483965737027,0.9179146659341135
280,1.6,0.13,2979.7821694514973,0.911744267918877
281,1.6,0.14,2960.9723931248964,0.9059889124024798
